,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,5.1,3.5,1.4,0.2,0
1,4.7,3.2,1.6,0.2,0
2,4.9,3.1,1.5,0.1,0
3,4.4,2.9,1.4,0.2,0
4,5.0,3.4,1.5,0.2,0
5,4.6,3.4,1.4,0.3,0
6,5.4,3.9,1.7,0.4,0
7,5.0,3.6,1.4,0.2,0
8,4.6,3.1,1.5,0.2,0
9,4.7,3.2,1.3,0.2,0
10,4.9,3.0,1.4,0.2,0
11,4.8,3.4,1.6,0.2,0
12,4.3,3.0,1.1,0.1,0
13,5.4,3.7,1.5,0.2,0
14,6.9,3.1,5.4,2.1,0
15,5.2,3.5,1.5,0.2,0
16,5.0,3.4,1.6,0.4,0
17,5.0,3.0,1.6,0.2,0
18,4.8,3.4,1.9,0.2,0
19,5.1,3.3,1.7,0.5,0
20,5.8,4.0,1.2,0.2,0
21,5.1,3.7,1.5,0.4,0
22,4.6,3.6,1.0,0.2,0
23,5.1,3.8,1.5,0.3,0
24,5.7,3.8,1.7,0.3,0
25,5.1,3.5,1.4,0.3,0
26,5.4,3.4,1.7,0.2,0
27,5.6,3.0,4.1,1.3,0
28,5.2,3.4,1.4,0.2,0
29,5.2,3.4,1.4,0.2,0
30,4.8,3.0,1.4,0.1,0
31,5.4,3.4,1.5,0.4,0
32,5.2,4.1,1.5,0.1,0
33,5.5,4.2,1.4,0.2,0
34,4.8,3.1,1.6,0.2,0
35,4.9,3.1,1.5,0.1,0
36,5.0,3.2,1.2,0.2,0
37,5.5,3.5,1.3,0.2,0
38,4.9,3.1,1.5,0.1,0
39,4.4,3.0,1.3,0.2,0
40,5.1,3.4,1.5,0.2,0
41,4.5,2.3,1.3,0.3,0
42,4.4,3.2,1.3,0.2,0
43,5.0,3.5,1.6,0.6,0
44,5.1,3.8,1.9,0.4,0
45,4.8,3.0,1.4,0.3,0
46,5.0,3.5,1.3,0.3,0
47,4.6,3.2,1.4,0.2,0
48,5.0,3.5,1.3,0.3,0
49,5.1,3.8,1.6,0.2,0
50,5.1,3.8,,0.2,0
51,,3.7,1.5,0.4,0
52,5.3,3.7,,0.2,0
53,4.6,,1.4,0.3,0
54,4.4,3.0,1.3,,0
55,5.0,3.5,1.6,0.6,0
56,5.7,4.4,1.5,0.4,0
57,5.0,3.3,1.4,0.2,0
58,5.3,3.7,1.5,0.2,0
59,,2.3,1.3,0.3,0
60,5.7,2.8,4.5,1.3,1
61,6.7,3.1,4.4,1.4,1
62,5.6,2.9,3.6,1.3,1
63,6.1,2.9,4.7,1.4,1
64,6.4,3.2,4.5,1.5,1
65,4.9,2.4,3.3,1.0,1
66,5.5,2.3,4.0,1.3,1
67,6.5,2.8,4.6,1.5,1
68,6.3,3.3,4.7,1.6,1
69,5.8,2.7,4.1,1.0,1
70,6.9,3.1,4.9,1.5,1
71,5.7,2.6,3.5,1.0,1
72,6.2,2.2,4.5,1.5,1
73,5.6,3.0,4.5,1.5,1
74,6.7,3.0,5.0,1.7,1
75,6.8,2.8,4.8,1.4,1
76,6.6,3.0,4.4,1.4,1
77,6.4,2.9,4.3,1.3,1
78,6.1,2.8,4.7,1.2,1
79,6.0,2.9,4.5,1.5,1
80,6.3,2.5,4.9,1.5,1
81,6.1,2.8,4.0,1.3,1
82,5.9,3.2,4.8,1.8,1
83,5.6,2.5,3.9,1.1,1
84,6.6,2.9,4.6,1.3,1
85,7.0,3.2,4.7,1.4,1
86,5.2,2.7,3.9,1.4,1
87,6.0,2.2,4.0,1.0,1
88,5.9,3.0,4.2,1.5,1
89,5.0,2.0,3.5,1.0,1
90,5.7,4.4,1.5,0.4,1
91,6.3,2.3,4.4,1.3,1
92,6.7,3.1,4.7,1.5,1
93,6.0,3.4,4.5,1.6,1
94,5.8,2.6,4.0,1.2,1
95,5.5,2.5,4.0,1.3,1
96,5.5,2.6,4.4,1.2,1
97,5.0,2.3,3.3,1.0,1
98,6.3,3.3,,1.6,1
99,5.7,3.0,4.2,1.2,1
100,5.7,2.9,4.2,1.3,1
101,6.1,3.0,4.6,1.4,1
102,5.1,2.5,3.0,1.1,1
103,6.2,2.9,4.3,1.3,1
104,5.5,2.4,3.8,1.1,1
105,5.4,3.0,4.5,1.5,1
106,5.5,2.4,3.7,1.0,1
107,5.6,2.7,4.2,1.3,1
108,5.8,2.7,3.9,1.2,1
109,,2.9,4.5,1.5,1
110,6.0,2.7,5.1,1.6,1
111,5.1,2.5,3.0,1.1,1
112,5.7,2.8,4.1,1.3,1
113,6.1,2.9,,1.4,1
114,7.3,2.9,6.3,1.8,2
115,6.4,3.2,5.3,2.3,2
116,6.1,2.6,5.6,1.4,2
117,4.9,2.5,4.5,1.7,2
118,6.3,2.8,5.1,1.5,2
119,7.6,3.0,6.6,2.1,2
120,7.1,3.0,5.9,2.1,2
121,6.3,2.9,5.6,1.8,2
122,6.5,3.0,5.8,2.2,2
123,7.7,3.8,6.7,2.2,2
124,5.8,2.7,5.1,1.9,2
125,6.4,2.8,5.6,2.2,2
126,6.9,3.2,5.7,2.3,2
127,7.4,2.8,6.1,1.9,2
128,7.2,3.0,5.8,1.6,2
129,6.4,2.8,5.6,2.1,2
130,6.1,3.0,4.9,1.8,2
131,6.5,3.0,5.5,1.8,2
132,6.2,2.8,4.8,1.8,2
133,6.3,2.7,4.9,1.8,2
134,7.7,2.8,6.7,2.0,2
135,5.6,2.8,4.9,2.0,2
136,5.8,2.8,5.1,2.4,2
137,6.0,2.2,5.0,1.5,2
138,7.7,2.6,6.9,2.3,2
139,7.9,3.8,6.4,2.0,2
140,6.7,2.5,5.8,1.8,2
141,6.2,3.4,5.4,2.3,2
142,6.5,3.2,5.1,2.0,2
143,6.7,3.3,5.7,2.1,2
144,5.4,3.9,1.3,0.4,2
145,6.3,3.4,5.6,2.4,2
146,6.4,3.1,5.5,1.8,2
147,6.0,3.0,4.8,1.8,2
148,6.7,3.1,5.6,2.4,2
149,6.9,3.1,5.1,2.3,2
150,5.8,2.7,5.1,1.9,2
151,6.8,3.2,5.9,2.3,2
152,6.7,3.3,5.7,2.5,2
153,6.3,2.5,5.0,1.9,2
154,6.3,2.7,4.9,1.8,2
155,6.5,3.0,5.2,2.0,2
156,6.2,3.4,5.4,2.3,2
157,5.9,3.0,5.1,1.8,2
158,6.4,2.8,5.6,2.2,2
159,7.7,3.8,6.7,2.2,2
160,5.8,2.8,5.1,,2
161,6.7,3.0,5.2,2.3,2
162,7.7,3.0,6.1,2.3,2
163,7.2,3.2,6.0,1.8,2
164,6.3,2.8,5.1,1.5,2
165,5.7,2.5,5.0,2.0,2
166,6.8,3.0,5.5,2.1,2
167,6.4,2.7,5.3,1.9,2
168,7.2,3.6,6.1,2.5,2
169,6.3,3.3,6.0,2.5,2
